ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
15331	BenTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bus+o	b u s + o	172	b u s + o - - - - - - -
15332	JamsayDouentza	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	buj+o	b u j + o	172	b u j + o - - - - - - -
15333	JamsayMondoro	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	toŋ+o+kun+o	t o ŋ + o + k u n + o	171	t o ŋ + o + k u n + o
15334	Mombo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	taŋg+am+i	t a ŋ g + a m + i	176	t a ŋ g + a m + i
15335	BonduSoNajamba	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	simb+ir+ɛgan	s i m b + i r + ɛ g a n	173	s i m b + i r + ɛ g a n
15336	Nanga	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bus+o	b u s + o	172	b u s + o - - - - - - -
15337	PergeTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	sus+u+ro	s u s + u + r o	178	s u s + u + r o
15338	PergeTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bus+o	b u s + o	172	b u s + o - - - - - - -
15339	TogoKan	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	buj+o	b u j + o	172	b u j + o - - - - - - -
15340	TommoSoTongoTongo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	taŋ+u+nd+a	t a ŋ + u + n d + a	180	t a ŋ + u + n d + a
15341	ToroTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	toŋg+ur+o	t o ŋ g + u r + o	181	t o ŋ g + u r + o
15342	YandaDom	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	buz+o+kund+o	b u z + o + k u n d + o	172	b u z + o + k u n d + o
15343	YornoSo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	buj+o	b u j + o	172	b u j + o - - - - - - -
13721	BankanTey	(e.g. fallen tree) impede, block the passage of (sb)	pal+a+kaŋ	p a l + a + k a ŋ	182	p a l + a + k a ŋ
13722	BenTey	(e.g. fallen tree) impede, block the passage of (sb)	pal+ɛ	p a l + ɛ	182	p a l + ɛ - - - -
13723	BenTey	(e.g. fallen tree) impede, block the passage of (sb)	fal+ɛ	f a l + ɛ	182	f a l + ɛ - - - -
13724	DonnoSo	(e.g. fallen tree) impede, block the passage of (sb)	paŋɛ+ɛ	p a ŋ ɛ + ɛ	185	p a ŋ ɛ + ɛ
